# obfuscated -> readable names for tools/jdeob.py (tab separated)
al	Settings
aq	SysUtil
be	StreamReader
bl	Resources
cv	MainCanvas
cy	AudioPlayer
dh	Bluetooth
e	TouchButtons
z	Vec2
bn	Widget
bu	CareerScreen
d	CarSelect
dk	CareerMap
m	MainMenu
o	GhostCar
bz	Vec3
g	FontCodec
p	Font
u	TrackSelect
y	Screen
bx	SoundBank
cm	WidgetGroup
co	Garage
dg	SoundTrigger
ao	Label
as	EngineSounds
ba	CarSpec
cu	MenuScreen
cw	Planet
cx	PlayerCar
dj	ScoreUpload
ck	RaceLine
bv	RaceView
v	RaceScreen
ax	MenuItem
bk	IconList
db	MenuList
n	CheckBox
ab	Dialog
ct	Plane
t	TextBuffer
ae	MidList
ap	HighList
bf	TileList
bi	MenuButton
bj	Rect
bo	OpponentCar
cf	Textures
cn	UiText
de	Meshes
df	Frustum
dl	ImageItem
aa	OrbitCam
bg	ChaseNear
c	ChaseFar
cr	CockpitCam
di	CameraState
aj	BackgroundPass
ak	ImageBackground
dm	ColorBackground
dn	BitmapFont
f	GlyphTable
av	AiTune
aw	PlayerTune
cs	StockTune
x	CarPhysics
an	FrameTimer
da	BitReader
dd	ScoreRecord
ay	Rain
l	Snow
ad	Countdown
